NAME,TYPE1,TYPE2,LEVEL,HP,MP,SP,VIT,AGI,SPD,MEN,STA,IP STUN,IP CANCEL STUN,EVASION,EVASION MOVING,FIRE RESIST,WIND RESIST,EARTH RESIST,LIGHTNING RESIST,BLIZZARD RESIST,STATUS RESIST,RKB?,TREC,TDMG,THEAL,SIZE,NO ESCAPE,XP,SKILLCOINS,MAGICCOINS,GOLD,ITEM1,ITEM2,%1,%2
Desert Diver,4,4,37,1495,0,250,173,95,60,127,269,20,50,0,0,6,-8,10,0,0,0,5,300,210,500,70,0,56,58,44,126,134,733,10,2
Dual Fist,12,2,50,21850,0,660,346,152,73,158,250,15,30,0,0,0,-5,0,0,9,202,10,360,540,500,200,1,450,1600,0,1200,71,652,2,120
Evil Maneuver,7,7,42,2243,240,260,282,116,53,103,288,20,50,0,0,0,0,-3,8,0,10,10,600,240,500,130,0,105,114,59,32,205,69,10,3
Emerald Bird,1,1,45,2139,160,320,309,123,81,244,192,20,50,0,0,-4,0,0,0,7,128,5,480,330,500,120,0,108,96,156,271,142,227,10,125
Death Doberman,4,4,44,2059,270,0,291,139,80,173,192,20,50,0,0,-3,10,0,0,0,0,5,600,270,500,130,0,83,13,115,106,123,601,10,125
Mind Eater,7,7,47,2530,280,330,263,134,43,285,288,20,50,0,0,0,0,0,9,-3,10,5,420,300,500,80,0,128,12,27,142,711,142,121,10
Vein Brain,7,7,28,920,130,0,153,122,80,196,230,20,50,0,0,-5,0,0,7,0,12,0,960,390,500,90,0,17,8,65,72,208,68,15,3
Devil,6,6,50,6670,630,0,303,166,72,204,250,20,50,5,0,5,0,0,0,-2,160,5,30,240,500,100,1,20,270,320,240,740,233,122,2
Dragon Knight,3,3,42,2450,60,290,315,130,95,158,192,20,50,0,0,0,-6,0,6,0,128,10,600,300,500,120,0,92,98,73,171,350,102,122,10
Guardian,13,6,50,19550,260,690,324,194,74,213,250,10,30,0,0,0,0,-5,8,5,237,15,150,300,500,150,1,500,0,2000,1600,71,421,2,120
Valmar Magna,14,8,51,23000,440,700,336,225,79,178,230,10,30,0,0,5,0,0,0,0,224,10,270,300,500,180,1,600,50,300,1500,391,101,1,20
Valmar Moth,8,8,51,3680,0,0,303,242,142,104,192,15,50,0,0,7,0,0,0,0,128,5,60,120,500,90,0,100,60,50,80,123,204,10,1
Millenia,16,5,11,100000,80,77,106,127,66,70,192,15,30,5,15,0,0,0,0,0,255,10,825,310,210,60,1,0,0,0,0,0,0,0,0
Beast-Man,17,5,16,4800,49,144,150,144,88,61,192,15,30,5,15,0,0,0,0,0,202,40,750,320,210,80,1,150,100,0,0,0,0,0,0
Eyeball Bat,29,8,30,3500,0,370,148,105,100,126,192,15,50,0,0,0,0,5,0,0,145,5,360,360,500,70,1,50,225,225,195,0,53,0,120
Tio Clone,18,5,43,30000,190,165,274,282,196,168,192,10,30,100,0,0,0,0,0,0,219,15,850,300,210,60,1,900,4000,4000,0,0,425,0,100
Millenia,19,5,48,23000,247,192,291,224,104,155,192,10,30,0,0,0,0,0,0,0,224,10,825,310,210,60,1,0,3000,0,0,0,361,0,100
