index,icon,name,cost,target effect,target type,strength,power,range,cast Lv1,castLv5,Recovery,Animation,???,knockdown,IP Damage,IP Cancel Damage,knockback,element,element strength,status effect bitflag,status effect chance, ATK change, DEF change, ACT change, MOV change, special effect, cost Lv1, cost Lv2, cost Lv3, cost Lv4, cost Lv5, power multiplier, description
21,6,             BOOM!,22,Magical Damage(MAG),Area Enemies,160,200,600,300,50,13000,             BOOM!,0,1,2000,0,120,Fire,0,0,0,0,0,0,0,0,240,120,180,300,480,25,Attack with an explosion                
22,6,          BA-BOOM!,75,Magical Damage(MAG),All Enemies,580,200,0,480,80,14000,          BA-BOOM!,0,1,2000,0,150,Fire,0,0,0,0,0,0,0,0,400,200,300,500,800,25,Attack with a huge explosion            
23,6,     Meteor Strike,50,Magical Damage(MAG),One Enemy,720,200,0,480,55,14000,     Meteor Strike,0,1,3000,0,120,Fire,0,0,0,0,0,0,0,0,400,200,300,500,800,25,Meteor attack |from the sky             
24,6,              WOW!,5,Ally Buff/Debuff,One Ally,0,0,0,120,20,11000,              WOW!,0,0,0,0,0,Fire,0,0,0,2,0,0,0,0,80,40,60,100,160,0,Ups attack power                        
25,3,              Zap!,24,Magical Damage(MAG),Area Enemies,80,300,600,300,50,13000,              Zap!,0,0,1000,0,50,Lightning,10,4,15,0,0,0,0,0,240,120,180,300,480,25,Attack by shooting balls of lightning   
26,3,           Zap All,36,Magical Damage(MAG),All Enemies,150,300,0,360,60,13000,           Zap All,0,1,1000,0,80,Lightning,10,4,15,0,0,0,0,0,320,160,240,400,640,25,Lightning attack |Burns all enemies     
27,3,            GadZap,55,Magical Damage(MAG),One Enemy,480,300,0,480,55,14000,            GadZap,0,1,1500,0,80,Lightning,10,4,30,0,0,0,0,0,400,200,300,500,800,25,Attack with holy lightning from heaven  
28,3,         DragonZap,58,Magical Damage(MAG),Enemy Line,420,300,300,480,80,14000,         DragonZap,0,1,1500,0,120,Lightning,10,4,15,0,0,0,0,0,400,200,300,500,800,25,Attack with dragon lightning            
29,3,             Stram,6,Enemy Buff/Debuff,One Enemy,0,0,0,120,20,11000,             Stram,0,0,0,0,0,Fire,0,0,0,-2,0,0,0,0,80,40,60,100,160,0,Robs strength and drops enemy defense   
30,7,             Poizn,15,Magical Damage(MAG),Area Enemies,25,180,600,240,40,12000,             Poizn,0,0,0,0,0,Fire,0,1,60,0,0,0,0,0,160,80,120,200,320,25,Covers a range with a poisonous gel     
31,7,            Speedy,7,Ally Buff/Debuff,One Ally,0,0,0,150,25,11000,            Speedy,0,0,0,0,0,Fire,0,0,0,0,0,2,0,0,80,40,60,100,160,0,Forest life-force ups movement ability  
32,7,             Craze,10,Enemy Buff/Debuff,Area Enemies,0,0,600,165,15,11000,             Craze,0,0,0,0,0,Fire,0,8,70,0,0,0,0,0,60,30,45,75,120,0,Confuse enemy by dropping spores        
33,7,              Cure,4,Status Change,One Ally,0,0,0,165,15,11000,              Cure,0,0,0,0,0,Fire,0,5,100,0,0,0,0,0,60,30,45,75,120,0,Green power cures poison and paralysis  
34,7,           Refresh,12,Status Change,One Ally,0,0,0,180,30,11000,           Refresh,0,0,0,0,0,Fire,0,96,100,0,0,0,0,0,80,40,60,100,160,0,Unblocks magic/|moves                   
35,7,            Halvah,24,Status Change,One Ally,0,0,0,270,20,12000,            Halvah,0,0,0,0,0,Fire,0,127,100,0,0,0,0,0,200,100,150,250,400,0,Cures all status abnormalities          
36,4,           Crackle,16,Magical Damage(MAG),One Enemy,220,275,0,270,20,13000,           Crackle,0,1,4000,0,50,Blizzard,10,0,0,0,0,0,0,0,240,120,180,300,480,25,Attack enemy with icicle knives         
37,4,         Crackling,52,Magical Damage(MAG),All Enemies,420,275,0,480,80,14000,         Crackling,0,1,2500,0,100,Blizzard,10,0,0,0,0,0,0,0,400,200,300,500,800,25,Attack enemies with diamond dust        
38,4,              Cold,7,Enemy Buff/Debuff,One Enemy,0,0,0,150,25,11000,              Cold,0,0,0,0,0,Fire,0,0,0,0,0,-2,0,0,80,40,60,100,160,0,Drops movement with soul-chilling cold  
39,4,           Freeze!,5,Enemy Buff/Debuff,All Enemies,0,0,0,120,20,11000,           Freeze!,0,0,0,0,0,Fire,0,0,0,0,0,0,-1,0,60,30,45,75,120,0,Drops action with bone-chilling cold    
40,4,             Fiora,12,Enemy Buff/Debuff,Area Enemies,0,0,400,150,25,11000,             Fiora,0,0,0,0,0,Fire,0,64,70,0,0,0,0,0,80,40,60,100,160,0,Magic symbol blocks enemy moves         
41,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
42,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
43,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
44,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
45,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
46,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
47,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
48,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
49,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
50,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
51,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
52,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
53,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
54,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
55,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
56,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
57,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
58,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
59,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
60,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
61,10,   Tenseiken Slash,24,Physical Damage(STR),One Enemy,50,200,0,240,0,12000,   Tenseiken Slash,0,1,2500,5000,100,Fire,0,0,0,0,0,0,0,0,500,250,500,1000,2000,50,Upward slash from below  Cancel effect  
62,10,  Flying Tenseiken,40,Physical Damage(STR),One Enemy,200,200,0,390,30,14000,  Flying Tenseiken,0,1,4000,0,0,Fire,0,0,0,0,0,0,0,0,800,400,800,1600,3200,75,Uppercut slash |with Skye's help        
63,3,  Purple Lightning,32,Physical Damage(STR),One Enemy,75,200,0,300,30,13000,  Purple Lightning,0,1,3000,0,100,Lightning,8,0,0,0,0,0,0,0,700,350,700,1400,2800,75,Deadly slash with a lightning-lit sword 
64,10,  Sky Dragon Slash,99,Physical Damage(STR),All Enemies,200,400,0,450,90,15000,  Sky Dragon Slash,0,1,5000,0,100,Fire,0,0,0,0,0,0,0,0,1500,750,1500,3000,6000,50,The ultimate esoteric deadly slash      
65,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
66,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
67,11,       Impact Bomb,25,Physical Damage(STR),One Enemy,50,250,0,240,0,12000,       Impact Bomb,0,1,2000,4000,50,Fire,0,0,0,0,0,0,0,0,500,250,500,1000,2000,50,Ball of light pounds enemy Cancel effect
68,11,    Nightmare Ball,18,Magical Damage(MAG),Area Enemies,0,200,600,210,30,13000,    Nightmare Ball,0,0,0,0,0,Fire,0,2,90,0,0,0,0,0,600,300,600,1200,2400,50,Bubbles from staff put enemy to sleep   
69,8,  Droplets of Life,90,Restore HP(MEN),All Allies,200,200,0,300,60,15000,  Droplets of Life,0,0,0,0,0,Fire,0,255,100,0,0,0,0,13,1400,700,1400,2800,5600,100,Water of life |restores all             
70,8,  White Apocalypse,80,Magical Damage(MAG),All Enemies,125,250,0,450,90,15000,  White Apocalypse,0,1,3000,0,0,Fire,0,0,0,0,0,0,0,0,1200,600,1200,2400,4800,150,Intense light reduces enemy to dust     
71,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
72,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
73,12,        Arrow Shot,25,Physical Damage(STR),One Enemy,50,250,0,240,0,12000,        Arrow Shot,0,0,2000,4000,150,Fire,0,0,0,0,0,0,0,0,500,250,500,1000,2000,50,A single surefire shot  Cancel effect   
74,16,        Heel Crush,20,Physical Damage(STR),One Enemy,0,200,0,210,30,12000,        Heel Crush,0,1,1500,0,50,Fire,0,0,0,-1,-1,-1,-1,0,500,250,500,1000,2000,50,Deadly heel attack saps enemy spirit    
75,9,      Fallen Wings,75,Magical Damage(MAG),All Enemies,100,150,0,450,90,15000,      Fallen Wings,0,1,3000,0,80,Fire,0,0,0,0,0,0,0,0,800,400,800,1600,3200,150,Attack with wing power                  
76,9,   Starving Tongue,55,Magical Damage(MAG),All Enemies,100,200,0,360,60,14000,   Starving Tongue,0,1,0,0,100,Fire,0,0,0,0,0,0,0,0,600,300,600,1200,2400,50,Absorb HP with tongue power             
77,9,  Spellbinding Eye,60,Special,One Enemy,600,0,0,450,90,14000,  Spellbinding Eye,0,0,0,0,0,Fire,0,0,0,0,0,0,0,14,1000,500,1000,2000,4000,25,Block enemy |movement                   
78,9,    Grudging Claws,42,Magical Damage(MAG),One Enemy,150,250,0,390,30,14000,    Grudging Claws,0,0,4500,0,0,Fire,0,0,0,0,0,0,0,0,700,350,700,1400,2800,100,Split enemy with claw power             
79,13,     Golden Hammer,22,Physical Damage(STR),One Enemy,50,250,0,240,0,12000,     Golden Hammer,0,1,2000,4000,80,Fire,0,0,0,0,0,0,0,0,500,250,500,1000,2000,50,Attack with a hammer Cancel effect      
80,4,   Snowball Fight!,40,Magical Damage(MAG),Area Enemies,50,200,600,300,60,13000,   Snowball Fight!,0,1,1500,0,0,Blizzard,8,0,0,0,0,0,0,0,700,350,700,1400,2800,50,Attack by throwing a huge snowball      
81,13,       Dragon Rise,38,Physical Damage(STR),One Enemy,200,200,0,390,30,14000,       Dragon Rise,0,1,2500,0,200,Fire,0,0,0,0,0,0,0,0,800,400,800,1600,3200,75,Legendary esoteric attack               
82,13,    Vitality March,20,Status Change,All Allies,0,0,0,210,30,12000,    Vitality March,0,0,0,0,0,Fire,0,127,100,0,0,0,0,0,400,200,400,800,1600,0,Cures status |disorders                 
83,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
84,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
85,15,      Lotus Flower,28,Physical Damage(STR),Enemy Line,0,200,200,240,0,12000,      Lotus Flower,0,1,1500,3000,150,Fire,0,0,0,0,0,0,0,0,500,250,500,1000,2000,50,A splendid attack Cancel effect         
86,1,           Tornado,48,Magical Damage(MAG),All Enemies,75,200,0,360,60,13000,           Tornado,0,1,1500,0,0,Wind,8,0,0,0,0,0,0,0,1000,500,1000,2000,4000,75,A dance move that stops wind currents   
87,15,  Fast Dance-Whirl,38,Physical Damage(STR),One Enemy,200,200,0,390,30,14000,  Fast Dance-Whirl,0,1,3000,0,200,Fire,0,0,0,0,0,0,0,0,800,400,800,1600,3200,75,A legendary attack dance                
88,15,  Whisper to Stars,36,Ally Buff/Debuff,All Allies,0,0,0,300,30,12000,  Whisper to Stars,0,0,0,0,0,Fire,0,0,0,1,1,1,1,0,600,300,600,1200,2400,0,Power of stars raise all variable status
89,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
90,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
91,14,    Beast-Fang Cut,26,Physical Damage(STR),One Enemy,50,200,0,240,0,12000,    Beast-Fang Cut,0,1,3000,6000,150,Fire,0,0,0,0,0,0,0,0,0,250,500,1000,2000,50,Spirited axe attack       Cancel effect 
92,0,  Beast-King Blast,52,Physical Damage(STR),Area Around Self,75,200,1000,360,60,14000,  Beast-King Blast,0,1,4000,0,100,Fire,8,0,0,0,0,0,0,0,1000,500,1000,2000,4000,75,Blast enemy with beast-soul power       
93,14,  Beast-King Smash,44,Physical Damage(STR),One Enemy,200,200,0,390,30,14000,  Beast-King Smash,0,1,5000,0,200,Fire,0,0,0,0,0,0,0,0,800,400,800,1600,3200,75,Killer blow with all mind and body      
94,14,       Lion's Roar,18,Ally Buff/Debuff,All Allies,0,0,0,210,30,12000,       Lion's Roar,0,0,0,0,0,Fire,0,0,0,1,0,0,0,0,600,300,600,1200,2400,0,Heartening roar |ups attack power       
95,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
96,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
97,13,     Golden Hammer,22,Physical Damage(STR),One Enemy,50,250,0,240,0,12000,     Golden Hammer,0,1,2000,4000,80,Fire,0,0,0,0,0,0,0,0,500,250,500,1000,2000,50,Attack with a hammer Cancel effect      
98,4,        Ice Prison,30,Physical Damage(STR),One Enemy,75,250,0,300,30,12000,        Ice Prison,0,1,0,0,200,Blizzard,8,0,0,0,0,0,0,0,700,350,700,1400,2800,75,Deadly slash with cold                  
99,13,  True Dragon Rise,42,Physical Damage(STR),One Enemy,200,250,0,390,30,14000,  True Dragon Rise,0,1,3500,0,200,Fire,0,0,0,0,0,0,0,0,800,400,800,1600,3200,75,True legendary esoteric attack          
100,13,    Vitality March,20,Ally Buff/Debuff,All Allies,0,0,0,210,30,13000,    Vitality March,0,0,2500,0,0,Fire,0,127,100,0,0,0,0,0,400,200,400,800,1600,0,Cures status |disorders                 
101,0,     Taint of Wind,0,Special,Area Around Self,0,0,600,60,60,12000,                  ,0,1,5000,0,800,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
102,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
103,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
104,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
105,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
106,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
107,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
108,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
109,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
110,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
111,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
112,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
113,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
114,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
115,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
116,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
117,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
118,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
119,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
120,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
121,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
122,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
123,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
124,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
125,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
126,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
127,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
