Name,Unknown #1,Unknown #2,Type 1,Type 2,Level,Health,MP,SP,VIT,AGI,SPD,MEN,Stamina,IP Stun,IP Cancel Stun,Evasion Still %,Evasion Moving %,Fire Resist %,Wind Resist %,Earth Resist %,Lightning Resist %,Blizzard Resist %,Status Effect Resist Bitflag,Knockback Resist,Status Recovery Time,T_DMG,Unknown #3,T_HEAL,Size,Unknown #4,Unknown #5,No Run,Unknown #6,EXP,Skill Coins,Magic Coins,Gold Coins,Item 1,Item 2,Item 1 Chance,Item 2 Chance,Unknown #7
      Valmar's Eye,2,3,26,8,30,16000,900,1300,190,181,40,145,288,10,50,0,0,0,0,8,0,0,254,30,300,360,0,500,200,200,0,1,0,800,1800,1800,0,                  ,     Demon's Tears,0,100,0
      Valmar's Eye,2,3,26,8,53,25000,900,1300,281,181,40,186,288,10,20,0,0,0,0,0,0,0,254,30,300,480,0,500,200,200,0,1,0,3000,4000,1000,0,                  ,       Queen Heels,0,100,0
         Right Arm,0,4,32,8,35,10000,500,600,352,139,50,95,288,10,30,0,0,0,0,-3,0,7,154,40,480,240,0,500,90,200,0,1,0,0,0,0,0,                  ,     Mana Insignia,0,100,0
          Left Arm,0,4,33,8,35,11000,660,550,234,157,50,237,288,10,30,0,0,0,0,-7,5,0,188,40,480,240,0,500,90,200,0,1,0,0,0,0,2100,                  ,                  ,0,0,0
     Valmar's Claw,3,3,31,8,35,16000,590,1100,273,177,50,158,288,10,30,0,0,0,0,-5,0,0,254,40,240,480,0,500,170,200,0,1,0,1000,2400,1200,0,                  ,     Book of Gales,0,100,0
             Sword,0,4,37,8,40,14000,0,0,576,125,450,110,96,10,30,0,0,-3,-3,-3,-3,-3,223,25,360,540,0,500,70,200,83,1,0,0,0,0,0,                  ,     Maken Valborg,0,100,0
             Sword,0,4,37,8,40,11000,0,0,999,150,150,999,192,10,30,100,0,0,7,0,0,0,255,4121,360,540,0,500,70,200,83,1,0,0,0,0,0,                  ,                  ,0,0,0
       Regenerator,0,4,38,8,40,17000,650,0,192,170,450,508,96,10,30,0,0,0,0,0,0,0,184,25,240,540,0,500,60,200,83,1,0,0,0,0,0,                  ,    Book of Swords,0,100,0
       Regenerator,0,4,38,8,40,13000,600,0,999,174,150,999,192,10,30,100,0,0,0,3,-3,0,255,4121,240,540,0,500,60,200,83,1,0,0,0,0,0,                  ,                  ,0,0,0
           Melfice,4,3,36,8,40,20000,1000,1100,318,250,450,195,96,10,30,100,0,0,0,0,0,0,254,25,120,480,0,500,80,200,83,1,0,1500,3600,1800,0,                  ,     Soul of Asura,0,100,0
           Melfice,4,3,36,8,40,19000,840,950,999,316,150,999,192,10,30,100,0,5,-5,0,0,0,255,4121,120,480,0,500,80,200,83,1,0,0,0,0,0,                  ,                  ,0,0,0
    Right Tentacle,0,5,42,8,44,23000,0,0,330,300,0,200,192,15,30,0,0,6,0,-6,0,0,152,0,360,240,0,500,300,200,0,1,0,0,0,0,0,                  ,      Angel Circle,0,100,0
     Left Tentacle,0,5,43,8,44,23000,0,0,330,300,0,200,192,15,30,0,0,0,0,-3,0,8,152,0,360,240,0,500,300,200,0,1,0,0,0,0,4000,                  ,                  ,0,0,0
     Valmar's Body,5,3,41,8,44,35000,1500,1500,330,250,0,200,192,10,50,0,0,-2,0,0,3,0,254,0,300,300,0,500,300,200,0,1,0,1600,6000,6000,0,                  ,        Relief Tag,0,100,0
          Left Eye,0,4,48,8,45,20000,800,0,324,150,100,175,192,10,30,0,0,0,0,6,0,-4,168,30,240,300,0,500,90,200,0,1,0,0,0,0,0,                  ,  Goddess Hi-Heels,0,100,0
          Left Eye,0,4,48,8,54,20000,800,0,273,150,100,176,192,10,20,0,0,10,10,10,10,10,44,30,120,360,0,500,90,200,85,1,0,0,0,0,0,                  ,     Mystic Potion,0,100,0
         Right Eye,0,4,47,8,45,20000,800,0,293,250,100,155,192,10,30,0,0,-4,0,7,0,0,168,30,240,300,0,500,90,200,0,1,0,0,0,0,4500,                  ,                  ,0,0,0
         Right Eye,0,4,47,8,54,20000,800,0,338,250,100,155,192,10,20,0,0,10,10,10,10,10,44,30,120,360,0,500,90,200,85,1,0,0,0,0,0,                  ,   Potion of Azure,0,100,0
    Valmar's Heart,6,3,46,8,45,25000,0,1000,337,250,100,205,192,10,50,0,0,0,-4,5,0,2,254,30,240,360,0,500,220,200,0,1,0,1800,8000,8000,0,                  ,      Holy Clothes,0,100,0
    Valmar's Heart,6,3,46,8,54,25000,560,1200,308,250,100,215,192,10,20,0,0,10,10,10,10,10,255,30,120,360,0,500,220,200,0,1,0,3000,4000,1000,0,                  ,     Tenma's Dress,0,100,0
               Bit,0,5,52,8,48,6000,0,280,251,250,100,154,192,15,50,15,0,0,0,5,0,0,16,10,480,120,0,500,60,200,0,1,0,0,0,0,900,                  ,                  ,0,0,0
      Egg Guardian,7,2,51,8,48,40000,620,720,306,350,0,203,0,10,30,0,0,3,6,-6,0,0,246,0,180,420,0,500,120,200,0,1,0,2000,10000,10000,0,                  ,      Angel's Robe,0,100,0
       Middle Head,0,4,57,8,55,52000,0,900,459,110,30,336,288,0,15,0,0,2,0,0,5,0,251,50,150,360,0,500,60,200,121,1,0,0,0,0,0,                  ,                  ,0,0,0
        Right Head,0,4,59,8,55,40000,520,460,410,162,30,359,288,0,15,0,0,2,0,0,5,0,255,50,150,360,0,600,60,200,85,1,0,0,0,0,0,                  ,                  ,0,0,0
         Left Head,0,4,58,8,55,45000,520,460,392,214,30,329,288,0,15,0,0,2,0,0,5,0,249,50,150,360,0,500,60,200,85,1,0,0,0,0,0,                  ,                  ,0,0,0
       Valmar Core,8,3,56,8,55,65000,0,1200,438,288,30,354,288,0,15,0,0,2,0,0,5,0,255,50,120,480,0,500,160,200,85,1,0,0,0,0,0,                  ,                  ,0,0,0
       Zera Valmar,9,3,61,8,56,99999,5000,0,237,500,40,156,288,5,20,0,0,0,0,0,0,0,255,30,150,420,0,500,90,200,85,1,0,0,0,0,0,                  ,                  ,0,0,0
