	EXP	HP	 MP	 SP	STR	VIT	ACT	MOV	MAG	MEN	 SK
1516975  33   2   2   2   1   1   0   2   2   0 
1582510  31   2   2   2   1   0   0   2   3   0 
1648045  29   2   1   1   2   0   0   1   2   0 
1713580  27   1   2   1   1   0   1   2   2   0 
1779115  26   2   2   1   1   0   0   2   2   0 
1844650  24   2   1   1   0   1   0   1   2   0 
1910185  21   2   2   1   1   0   0   2   2   0 
1975720  20   2   1   1   1   0   1   2   1   0 
2041255  19   2   2   1   1   0   0   1   2   0 
2106790  16   1   2   2   0   1   0   1   2   0 
2172325  14   2   1   1   1   0   0   2   2   0 
2237860  12   2   2   1   1   0   1   1   1   0 
2303395  11   1   2   0   1   0   0   2   2   0 
2368930   9   2   1   1   0   0   0   1   1   0 
2434465   8   1   1   2   1   0   0   1   2   0 
2500000   6   1   2   1   1   1   1   2   1   0 
	EXP	HP	 MP	 SP	STR	VIT	ACT	MOV	MAG	MEN	 SK
      0 280  70  60  65  55  75  55  90  50   1 
     12  12   2   1   1   2   0   1   2   1   0 
     30  13   2   2   2   1   0   0   2   2   0 
     56  14   2   1   2   2   1   1   2   1   0 
     92  15   2   1   1   1   0   0   2   2   0 
    140  15   2   2   2   2   1   0   3   2   0 
    202  15   2   1   2   1   1   1   2   1   0 
    281  16   2   2   1   2   0   0   2   2   0 
    379  17   2   1   2   1   1   0   2   2   0 
    496  19   2   1   2   2   0   1   2   2   1 
    634  20   2   2   2   2   0   0   2   1   0 
    798  21   3   1   1   2   1   1   2   2   0 
    991  22   3   2   2   2   0   0   2   2   0 
   1213  24   3   1   2   2   1   1   3   2   0 
   1479  25   3   2   2   3   0   1   2   2   0 
   1794  28   4   2   2   2   1   0   3   1   0 
   2159  30   3   2   2   2   1   1   3   2   0 
   2584  31   4   2   3   3   0   1   2   2   0 
   3064  33   3   2   2   2   1   0   3   2   0 
   3604  35   4   2   2   2   1   1   3   2   1 
   4200  36   3   3   3   2   1   1   3   3   0 
   4864  38   4   2   2   3   0   1   3   2   0 
   5587  40   3   2   3   2   1   1   3   2   0 
   6385  41   4   3   2   3   1   0   4   2   0 
   7254  43   4   2   3   2   0   1   3   3   0 
   8205  45   4   3   3   3   1   1   3   2   0 
   9236  47   5   3   2   3   0   1   4   2   0 
  10364  50   4   3   3   2   1   1   3   2   0 
  11604  51   4   2   3   3   1   2   4   2   0 
  12961  53   5   3   3   3   0   1   4   3   1 
  14453  55   4   3   2   3   1   1   4   2   0 
  16079  58   5   4   2   3   1   1   4   3   0 
  17859  61   5   3   3   4   1   1   5   2   0 
  19808  64   4   3   2   3   1   2   4   2   0 
  21903  67   5   4   3   3   1   1   4   3   0 
  24144  69   4   3   2   3   0   1   4   2   0 
  26530  72   5   4   3   4   1   1   5   3   0 
  29047  75   5   4   3   3   1   2   4   2   0 
  31677  77   4   4   4   3   1   1   4   3   0 
  34438  80   5   4   3   4   1   2   5   3   1 
  37309  82   5   5   3   3   1   1   5   3   0 
  40280  86   5   4   4   4   0   0   5   3   0 
  43340  92   5   5   3   4   0   1   4   3   0 
  46507  96   6   4   3   3   1   1   5   3   0 
  49800 100   5   5   3   4   0   0   5   2   0 
  53274  98   5   4   4   4   0   1   5   3   0 
  56973  97   6   4   3   3   1   0   4   3   0 
  60893  95   5   5   3   4   0   1   5   3   0 
  65087  93   5   4   3   4   0   0   5   2   0 
  69637  91   6   5   3   4   0   0   5   3   1 
  74642  89   5   5   3   3   0   1   6   2   0 
  80197  87   5   5   2   4   1   0   5   3   0 
  86418  85   4   5   3   3   0   1   5   2   0 
  93416  82   5   4   3   4   0   0   5   2   0 
 101253  80   4   4   3   3   1   1   4   3   0 
 110187  79   5   5   2   3   0   0   4   2   0 
 120461  77   4   5   3   3   0   1   5   2   0 
 132481  73   5   4   3   3   1   0   4   2   0 
 146424  71   4   4   2   3   0   0   4   3   0 
 162876  69   4   5   3   2   0   0   4   2   0 
 181960  67   3   4   3   3   1   1   3   2   0 
 204383  65   4   4   3   3   0   0   4   2   0 
 231178  63   4   4   2   3   0   0   3   3   0 
 263332  61   4   3   2   3   0   1   3   2   0 
 301756  59   3   4   3   2   1   0   3   2   0 
 347864  57   4   4   2   3   0   0   4   2   0 
 402963  56   3   3   2   2   0   1   3   2   0 
 468415  55   3   3   2   3   0   1   3   2   0 
 533950  54   4   4   2   2   1   1   4   2   0 
 599485  53   3   3   3   3   0   0   3   2   0 
 665020  52   3   3   2   2   0   0   3   1   0 
 730555  51   3   3   3   2   1   1   3   2   0 
 796090  50   2   2   2   2   0   0   3   2   0 
 861625  49   3   3   2   2   0   0   2   2   0 
 927160  47   3   3   3   2   0   0   2   1   0 
 992695  46   3   3   2   1   1   1   3   2   0 
1058230  44   2   2   2   2   0   0   3   2   0 
1123765  43   3   3   1   2   0   0   2   2   0 
1189300  42   3   2   2   1   0   1   2   1   0 
1254835  40   2   2   1   1   0   0   2   2   0 
1320370  39   2   2   1   2   1   0   3   2   0 
1385905  37   2   2   2   1   0   0   3   2   0 
1451440  35   3   3   1   1   0   1   2   1   0 
1516975  33   2   2   2   1   0   0   2   2   0 
1582510  31   2   2   2   1   0   0   3   2   0 
1648045  29   2   2   1   2   0   0   2   1   0 
1713580  27   1   2   1   1   1   1   2   2   0 
1779115  26   2   1   1   1   0   0   2   2   0 
1844650  24   2   2   1   0   0   0   2   1   0 
1910185  21   2   2   1   1   0   0   2   2   0 
1975720  20   2   1   1   1   0   1   1   2   0 
2041255  19   2   2   1   1   0   0   2   1   0 
2106790  16   1   2   2   0   1   0   2   1   0 
2172325  14   2   1   1   1   0   0   2   2   0 
2237860  12   2   2   1   1   0   1   1   1   0 
2303395  11   1   2   0   1   0   0   2   2   0 
2368930   9   2   2   1   0   0   0   1   1   0 
2434465   8   1   1   2   1   0   0   2   1   0 
2500000   6   1   2   1   1   1   1   1   2   0 
	EXP	HP	 MP	 SP	STR	VIT	ACT	MOV	MAG	MEN	 SK
      0 250  55  45  60  50  65  55  70  70   1 
     12  13   1   2   1   1   1   1   2   1   0 
     30  14   2   2   1   2   0   0   2   2   0 
     56  15   2   2   2   1   1   1   1   2   0 
     92  16   2   2   2   2   0   0   2   1   0 
    140  17   2   2   1   2   1   1   2   2   0 
    202  17   2   2   2   1   1   0   2   2   0 
    281  18   2   2   2   2   0   1   1   2   0 
    379  18   2   2   1   2   1   1   2   1   0 
    496  19   2   2   2   2   1   0   2   2   1 
    634  20   3   2   3   2   1   1   2   2   0 
    798  24   2   3   3   2   1   0   2   2   0 
    991  26   3   2   4   3   2   1   2   2   0 
   1213  29   3   3   3   2   1   1   3   1   0 
   1479  31   3   3   4   2   2   1   2   2   0 
   1794  33   2   2   4   3   1   1   2   2   0 
   2159  36   3   3   3   4   1   0   3   2   0 
   2584  37   3   3   4   3   2   1   2   3   0 
   3064  39   3   3   4   4   1   1   2   2   0 
   3604  40   2   3   4   4   2   1   3   2   1 
   4200  41   3   4   3   3   1   0   2   3   0 
   4864  42   3   3   4   4   1   1   3   2   0 
   5587  44   3   3   4   3   2   1   2   2   0 
   6385  45   3   4   4   4   1   1   3   3   0 
   7254  47   4   3   3   3   1   0   3   2   0 
   8205  49   3   4   4   4   1   1   2   2   0 
   9236  50   4   4   4   4   1   1   3   3   0 
  10364  52   5   4   4   3   2   1   3   3   0 
  11604  53   4   3   3   4   1   1   3   3   0 
  12961  55   5   4   4   4   1   0   4   3   1 
  14453  60   5   3   4   3   1   1   3   4   0 
  16079  65   5   3   4   4   1   1   3   3   0 
  17859  68   4   4   3   3   2   0   3   3   0 
  19808  70   5   3   4   4   2   1   4   3   0 
  21903  73   4   3   4   3   1   1   3   3   0 
  24144  75   4   4   4   4   1   1   4   4   0 
  26530  80   5   4   4   3   1   0   4   3   0 
  29047  84   4   4   5   4   2   1   3   3   0 
  31677  87   4   3   4   4   1   1   4   4   0 
  34438  93   4   4   4   4   2   1   4   3   1 
  37309  97   5   4   4   4   1   2   4   4   0 
  40280 101   5   4   4   4   1   1   4   4   0 
  43340 104   6   4   4   4   0   1   5   5   0 
  46507 108   5   5   4   4   1   2   4   4   0 
  49800 110   6   5   4   3   1   1   4   5   0 
  53274 107   5   5   3   4   0   1   5   4   0 
  56973 105   5   4   4   4   1   1   4   4   0 
  60893 103   4   5   4   3   0   0   4   3   0 
  65087 101   5   4   3   4   1   1   4   3   0 
  69637  99   5   4   4   4   1   1   3   4   1 
  74642  97   4   4   4   3   1   1   4   3   0 
  80197  95   5   4   4   4   1   1   4   3   0 
  86418  93   4   3   3   3   0   1   4   3   0 
  93416  90   4   4   3   4   0   0   3   2   0 
 101253  89   4   4   4   3   0   1   4   3   0 
 110187  86   3   4   3   4   0   1   4   3   0 
 120461  84   4   3   3   3   1   1   3   3   0 
 132481  81   3   4   4   4   0   0   4   2   0 
 146424  80   4   4   3   3   1   1   3   3   0 
 162876  78   4   4   3   3   0   1   3   2   0 
 181960  77   3   4   3   3   1   0   4   3   0 
 204383  75   3   3   2   2   1   1   3   2   0 
 231178  72   4   4   3   3   0   1   3   3   0 
 263332  70   3   4   3   3   1   0   3   3   0 
 301756  68   3   3   2   3   0   1   4   3   0 
 347864  66   3   4   3   2   1   0   3   2   0 
 402963  63   4   3   2   2   0   1   3   3   0 
 468415  61   3   3   2   3   1   0   3   2   0 
 533950  59   3   4   2   2   0   1   2   2   0 
 599485  55   4   3   2   2   1   0   3   3   0 
 665020  52   3   3   1   3   0   0   2   2   0 
 730555  50   3   3   2   2   1   1   3   3   0 
 796090  48   2   3   2   2   1   0   2   2   0 
 861625  45   3   3   2   2   1   0   2   3   0 
 927160  44   3   2   1   2   0   1   2   3   0 
 992695  42   2   3   2   2   0   0   1   2   0 
1058230  40   2   3   2   1   1   0   2   3   0 
1123765  39   1   3   2   2   0   0   2   2   0 
1189300  37   2   2   1   1   0   1   2   2   0 
1254835  35   2   3   2   2   1   0   2   3   0 
1320370  33   2   2   1   1   1   0   1   2   0 
1385905  31   1   3   1   1   0   0   2   2   0 
1451440  30   1   3   2   2   0   0   1   2   0 
1516975  28   2   2   1   1   1   1   1   3   0 
1582510  26   1   3   1   2   0   0   2   2   0 
1648045  24   2   3   1   1   0   0   1   2   0 
1713580  23   1   2   2   1   1   1   1   2   0 
1779115  21   1   2   1   1   0   0   1   3   0 
1844650  20   1   2   1   0   0   0   1   2   0 
1910185  18   2   3   1   1   1   0   0   2   0 
1975720  16   1   2   1   1   0   1   1   2   0 
2041255  15   1   2   1   1   1   0   1   2   0 
2106790  13   2   2   0   0   0   0   1   1   0 
2172325  12   1   2   1   1   0   1   0   2   0 
2237860  10   1   2   1   1   1   0   1   2   0 
2303395   9   2   3   0   1   0   0   1   2   0 
2368930   8   1   2   1   0   0   0   1   2   0 
2434465   7   0   2   1   1   1   0   1   1   0 
2500000   5   1   2   2   1   0   1   2   2   0 
	EXP	HP	 MP	 SP	STR	VIT	ACT	MOV	MAG	MEN	 SK
      0 280  60  55  75  70  85  75  65  70   1 
     12  14   1   2   1   2   1   1   1   2   0 
     30  14   2   1   2   1   0   1   1   1   0 
     56  15   1   2   2   2   1   0   1   1   0 
     92  16   2   1   2   2   1   1   2   2   0 
    140  17   2   2   2   2   1   0   1   1   0 
    202  18   3   2   2   1   1   1   1   2   0 
    281  19   2   1   2   2   1   0   2   1   0 
    379  20   2   2   2   2   1   1   1   1   0 
    496  21   2   2   2   2   1   1   2   2   1 
    634  22   3   2   3   2   1   1   2   1   0 
    798  22   2   2   2   2   1   0   1   2   0 
    991  23   2   2   3   2   0   1   2   2   0 
   1213  25   3   2   3   2   1   1   2   2   0 
   1479  27   3   2   2   3   1   0   2   3   0 
   1794  29   3   2   3   2   1   1   2   2   0 
   2159  30   2   3   2   2   1   1   3   3   0 
   2584  31   3   2   3   2   2   0   2   2   0 
   3064  32   3   2   3   2   1   1   2   2   0 
   3604  34   3   2   2   3   1   1   2   3   1 
   4200  35   3   3   3   2   1   1   2   2   0 
   4864  38   3   3   3   2   1   1   3   3   0 
   5587  41   4   2   3   3   2   0   2   2   0 
   6385  43   3   2   3   2   1   1   2   2   0 
   7254  45   3   3   3   3   1   1   2   3   0 
   8205  47   3   3   3   2   1   1   3   2   0 
   9236  49   4   2   4   3   1   0   2   2   0 
  10364  50   3   3   3   3   2   1   2   3   0 
  11604  51   3   2   4   3   1   1   3   2   0 
  12961  53   3   3   3   4   1   1   3   3   1 
  14453  55   4   3   3   3   1   1   3   3   0 
  16079  58   4   3   3   3   1   1   2   3   0 
  17859  61   3   4   3   3   1   1   3   3   0 
  19808  64   4   3   3   3   1   0   3   3   0 
  21903  67   4   3   3   4   2   1   3   3   0 
  24144  69   5   4   3   3   1   1   4   3   0 
  26530  74   4   3   3   4   2   1   3   2   0 
  29047  77   4   4   3   3   2   1   3   3   0 
  31677  81   5   4   4   4   1   1   4   3   0 
  34438  85   4   4   3   4   2   2   3   2   1 
  37309  91   4   4   3   4   1   1   4   3   0 
  40280  96   5   5   4   5   1   1   4   4   0 
  43340  99   4   4   3   4   1   1   3   4   0 
  46507 104   4   5   3   5   2   1   4   3   0 
  49800 110   5   4   3   5   1   0   3   4   0 
  53274 105   5   5   4   4   1   1   3   3   0 
  56973 100   4   5   3   4   0   0   4   3   0 
  60893  98   4   4   3   5   1   1   3   3   0 
  65087  94   4   4   3   4   1   0   3   3   0 
  69637  92   4   5   4   4   1   1   3   3   1 
  74642  90   3   4   3   4   1   0   3   3   0 
  80197  88   4   4   4   3   0   1   2   2   0 
  86418  86   4   5   3   4   1   1   3   3   0 
  93416  84   3   4   3   4   0   0   3   2   0 
 101253  82   3   4   3   3   1   1   3   3   0 
 110187  80   4   5   3   3   0   1   3   3   0 
 120461  78   3   4   3   4   0   1   2   2   0 
 132481  76   3   4   4   3   1   0   3   3   0 
 146424  74   3   4   3   3   1   1   3   2   0 
 162876  72   3   5   3   3   0   1   3   3   0 
 181960  70   3   4   3   4   1   0   2   2   0 
 204383  69   3   4   3   3   1   1   3   3   0 
 231178  67   3   4   2   3   0   1   3   3   0 
 263332  65   2   3   3   2   1   1   3   2   0 
 301756  64   3   4   2   3   0   0   3   3   0 
 347864  62   3   4   2   2   1   0   2   3   0 
 402963  60   2   3   2   3   0   1   3   2   0 
 468415  59   3   4   2   2   1   1   3   2   0 
 533950  58   2   3   2   3   1   0   3   2   0 
 599485  57   3   4   2   2   0   1   3   3   0 
 665020  55   2   3   2   3   1   1   2   2   0 
 730555  54   2   3   1   2   0   0   3   2   0 
 796090  52   3   3   2   2   0   0   2   3   0 
 861625  50   2   3   2   2   0   1   3   3   0 
 927160  48   2   4   1   1   0   1   3   2   0 
 992695  47   2   3   2   2   1   0   2   3   0 
1058230  46   1   3   2   2   0   1   2   2   0 
1123765  45   2   3   1   1   0   0   3   2   0 
1189300  43   2   3   1   2   1   1   2   2   0 
1254835  42   2   2   1   1   0   0   2   2   0 
1320370  40   1   3   2   1   0   1   2   2   0 
1385905  39   2   2   1   2   1   0   2   3   0 
1451440  37   1   3   1   1   0   1   1   2   0 
1516975  36   1   2   1   1   0   0   2   2   0 
1582510  34   2   2   1   1   1   1   2   2   0 
1648045  32   1   2   0   1   0   0   2   3   0 
1713580  30   1   2   1   0   0   1   1   2   0 
1779115  28   1   2   1   1   1   0   2   2   0 
1844650  25   2   3   1   1   0   1   2   2   0 
1910185  22   1   2   1   1   1   0   2   2   0 
1975720  20   1   2   0   1   1   1   1   2   0 
2041255  18   1   2   1   0   0   0   2   1   0 
2106790  16   1   2   1   1   0   0   2   2   0 
2172325  14   0   3   1   1   1   1   2   2   0 
2237860  12   1   2   0   1   0   0   1   1   0 
2303395  11   1   2   1   0   0   0   2   2   0 
2368930   9   1   2   1   1   0   1   2   1   0 
2434465   8   0   2   0   1   0   0   2   2   0 
2500000   5   1   3   1   2   1   1   2   1   0 
	EXP	HP	 MP	 SP	STR	VIT	ACT	MOV	MAG	MEN	 SK
      0 550  25  55  95  75  65  80  35  40   1 
     12  17   1   2   3   2   0   0   1   1   0 
     30  17   1   2   2   2   0   0   1   2   0 
     56  17   1   2   2   2   1   0   0   1   0 
     92  18   2   2   2   1   0   0   1   1   0 
    140  18   1   2   3   2   1   1   1   2   0 
    202  20   1   3   2   2   0   0   1   1   0 
    281  20   2   2   2   2   1   0   1   2   0 
    379  22   1   2   3   2   0   1   0   1   0 
    496  22   2   3   2   3   1   0   1   1   1 
    634  24   2   3   3   2   1   0   1   1   0 
    798  25   1   3   3   2   0   0   1   2   0 
    991  26   2   3   3   3   1   0   1   1   0 
   1213  28   2   4   3   2   0   0   1   2   0 
   1479  30   3   3   3   3   1   1   0   1   0 
   1794  31   2   3   4   3   0   0   1   2   0 
   2159  33   2   4   3   3   0   1   2   2   0 
   2584  34   2   3   4   2   1   0   1   1   0 
   3064  36   3   4   3   3   0   1   2   2   0 
   3604  38   2   4   4   3   1   0   1   2   1 
   4200  40   2   4   3   3   1   0   1   2   0 
   4864  43   3   4   3   3   0   0   1   1   0 
   5587  46   2   3   4   3   1   1   1   2   0 
   6385  47   3   4   3   4   0   1   2   2   0 
   7254  49   2   4   4   3   1   0   1   2   0 
   8205  51   3   4   3   3   1   1   2   2   0 
   9236  53   2   3   4   4   0   0   1   2   0 
  10364  56   3   4   3   3   1   0   2   3   0 
  11604  59   3   5   3   3   0   0   1   2   0 
  12961  62   2   4   4   4   1   1   2   2   1 
  14453  64   3   5   4   3   1   1   1   2   0 
  16079  68   3   5   4   4   1   0   2   2   0 
  17859  72   3   4   4   3   1   1   1   3   0 
  19808  76   3   4   4   4   0   0   1   2   0 
  21903  79   4   5   5   3   1   1   2   2   0 
  24144  84   3   4   4   4   1   0   1   3   0 
  26530  88   3   5   4   5   1   1   2   2   0 
  29047  96   3   4   5   4   0   0   2   2   0 
  31677  99   4   5   4   4   1   1   1   3   0 
  34438 104   3   4   5   5   1   0   2   2   1 
  37309 108   3   4   5   4   1   1   3   2   0 
  40280 111   4   5   4   4   0   0   2   2   0 
  43340 116   3   4   5   5   0   1   1   3   0 
  46507 124   4   5   5   5   1   1   2   2   0 
  49800 130   4   5   4   6   0   0   2   3   0 
  53274 125   4   5   4   5   1   1   2   3   0 
  56973 120   5   5   5   5   0   0   2   2   0 
  60893 118   4   5   4   4   0   0   1   2   0 
  65087 114   4   6   4   5   0   1   2   1   0 
  69637 109   5   6   4   5   1   0   2   2   1 
  74642 105   4   7   4   4   0   0   2   2   0 
  80197 102   4   6   4   5   1   1   2   2   0 
  86418  99   3   6   4   4   0   0   2   2   0 
  93416  97   4   7   3   4   0   1   2   2   0 
 101253  94   4   6   4   4   1   0   1   1   0 
 110187  92   3   6   4   3   0   1   2   2   0 
