Name,Unknown #1,Unknown #2,Type #1,Type #2,Level,Health,MP,SP,Vitality,Agility,Speed,Mentality,Stamina,IP Stun Duration,IP Cancel Stun Duration,Still Evasion Rate,Moving Evasion Rate,Fire Resist,Wind Resist,Earth Resist,Lightning Resist,Blizzard Resist,Ailments,Knockback Resist,Status Recovery Time,TDMG,Unknown #3,THEAL,Size,Unknown #4,Unknown #5,No Run Flag,Unknown #6,Experience,Skill Coins,Magic Coins,Gold Coins,Item #1,Item #2,Item #1 Chance,Item #2 Chance,Unknown #7,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance
Durham Minotaur,13,2,Unknown #4,Humanoid,19,4830,0,360,140,126,60,110,269,20,50,0,0,0,-3,10,-6,0,130,25,300,540,0,500,150,200,0,True,0,210,720,0,0,,Adventure Book,0,100,0,1,40,60,0,0,0,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troglodyte,14,1,Humanoid,Humanoid,13,1127,0,210,118,74,40,90,288,20,50,10,0,-3,0,0,0,4,128,10,420,300,0,500,80,200,0,True,0,24,40,10,160,Whirlwind Scroll,Mist Egg,10,120,0,1,85,15,0,0,0,8,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Twin Ogre,16,1,Humanoid,Humanoid,20,782,0,130,150,81,70,117,250,20,50,0,0,0,0,0,0,0,0,10,540,240,0,500,80,200,0,False,0,27,52,29,38,Hand Grenade,Ogre Helm,15,3,0,1,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,90,10,0,0,0,0,0,0,0,0,0
Warp Warrior,17,1,Undead,Undead,27,978,0,280,194,82,66,136,269,20,50,0,0,0,7,-8,0,0,130,10,600,300,0,500,80,200,0,False,0,28,59,3,41,Move Blessing,Dark Ring,10,2,0,1,60,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,85,10,5,0,0,0,0,0,0,0,0
Mottled Spider,8,3,Unknown #49,Valmar,10,300,0,60,110,53,59,60,269,20,50,0,0,0,0,0,0,0,0,5,780,300,0,500,90,200,0,False,0,8,15,5,2,Medicinal Herb,Slowpoke Nut,20,5,0,1,70,30,0,0,0,13,90,10,0,0,0,0,0,0,0,0,0,15,100,0,0,0,0,0,0,0,0,0,0
Man-Eating Tree,19,1,Unknown #1,Unknown #1,31,1541,0,140,240,80,72,82,250,20,50,0,0,-6,0,0,0,0,136,15,540,420,0,500,70,200,0,False,0,54,63,51,70,Healing Incense,Divine Talisman,15,125,0,1,65,35,0,0,0,6,20,80,0,0,0,3,80,20,0,0,0,15,100,0,0,0,0,0,0,0,0,0,0
Crimson Claw,20,1,Bug,Bug,30,1415,0,170,220,97,71,108,250,20,50,0,0,0,0,6,-5,0,2,5,600,300,0,500,60,200,0,False,0,31,41,28,65,Patience Nut,Blessing Scroll,10,5,0,1,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land Cougar,21,1,Animal,Animal,26,1150,180,0,170,118,103,142,192,20,50,20,0,0,8,3,0,0,8,10,480,480,0,500,120,200,0,False,0,25,17,49,22,Scroll of Alheal,Gale Stone,20,5,0,1,30,10,40,15,5,9,70,0,5,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandman,22,1,Animal,Animal,15,391,0,120,103,68,60,94,269,20,50,0,0,0,0,8,0,0,0,5,720,240,0,500,70,200,0,False,0,13,16,15,25,Hand Grenade,Sandman Whiskers,10,2,0,1,70,25,5,0,0,10,85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crimson Tail,23,2,Unknown #5,Bug,36,11270,0,620,230,156,73,128,250,15,30,0,0,0,0,7,-5,0,202,10,210,450,0,500,190,200,0,True,0,250,1200,300,1000,All-Around Seed,Soul Egg,2,120,0,1,50,15,35,0,0,2,25,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skull Snail,24,1,Undead,Undead,27,1058,150,110,170,77,51,144,288,20,50,0,0,-4,0,7,0,7,2,10,720,300,0,500,120,200,0,False,0,30,25,46,15,Icefang Stone,Bone Harp,15,5,0,1,60,15,15,10,0,6,25,50,10,15,0,0,0,0,0,0,0,15,80,10,5,5,0,0,0,0,0,0,0
Clay Bird,25,1,Bird,Bird,32,2070,140,150,221,106,79,133,192,20,50,0,0,0,-7,9,0,0,128,5,360,300,0,500,120,200,0,False,0,72,89,127,119,Scattering Stone,Silver Feather,10,1,0,1,40,25,15,20,0,3,50,30,20,0,0,0,0,0,0,0,0,15,70,15,10,5,0,0,0,0,0,0,0
Hellhound,26,1,Animal,Animal,22,667,110,0,159,102,82,138,192,20,50,0,0,7,0,0,0,-7,0,5,420,240,0,500,120,200,0,False,0,19,22,53,54,Firebomb,Ogre Slayer,15,1,0,1,60,15,25,0,0,9,75,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghoul,27,1,Undead,Undead,17,771,70,100,135,79,42,115,288,20,50,0,0,-3,0,0,0,6,2,5,540,360,0,500,70,200,0,False,0,15,19,30,34,Weakness Nut,Yomi's Elixir,10,5,0,1,45,10,30,15,0,6,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brain Bat,28,1,Undead,Undead,41,1702,250,0,176,114,80,236,230,20,50,0,0,0,9,0,0,0,0,0,600,300,0,500,90,200,0,False,0,60,32,135,103,Yomi's Elixir,Seed of Spells,10,3,0,1,35,10,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gargoyle,29,1,Unknown #1,Unknown #1,10,437,80,0,115,47,69,135,250,20,50,0,0,0,0,0,0,0,30,5,480,240,0,500,90,200,0,False,0,18,54,21,12,Holy Ashes,Sword of Purity,20,1,0,1,60,30,10,0,0,10,80,20,0,0,0,3,40,35,25,0,0,15,100,0,0,0,0,0,0,0,0,0,0
Dragonoid,30,1,Reptile,Reptile,26,1104,50,80,195,98,94,132,192,20,50,0,0,6,0,-5,0,0,0,10,600,300,0,500,120,200,0,False,0,32,31,42,63,Flame Stone,Seed of Power,15,3,0,1,75,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naga Queen,31,2,Unknown #6,Unknown #1,43,14375,120,480,248,203,74,184,250,15,30,0,0,0,0,-7,0,8,234,15,180,420,0,500,150,200,0,True,0,375,0,640,800,All-Around Seed,Star Egg,2,120,0,1,50,15,25,10,0,2,30,20,25,10,15,3,50,30,20,0,0,15,70,10,10,10,0,0,0,0,0,0,0
Valmar Young,34,2,Unknown #7,Valmar,49,8280,300,560,312,180,83,145,230,15,30,0,0,0,0,0,0,0,224,10,120,480,0,500,170,200,0,True,0,300,750,0,425,Yomi's Elixir,Soul of Asura,10,125,0,1,60,5,20,15,0,3,40,30,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valmar Fly,35,1,Valmar,Valmar,48,4140,0,0,258,160,139,134,192,20,50,0,0,0,0,0,0,0,0,5,300,300,0,500,80,200,0,True,0,75,375,0,125,Scarlet Potion,Platinum Feather,10,125,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeti,51,1,Humanoid,Humanoid,44,2450,0,0,245,107,68,153,250,20,50,0,0,0,5,8,-6,0,128,20,600,360,0,500,100,200,0,False,0,74,9,4,117,Serpentine,Charming Heels,10,125,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venomous Larva,52,1,Bug,Bug,38,1863,0,0,204,89,52,130,288,20,50,0,0,7,0,0,0,-4,0,10,600,420,0,500,110,200,0,False,0,57,72,52,56,Healing Incense,Caterpillar Soup,15,5,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salamadile,53,1,Reptile,Reptile,41,1725,0,0,254,100,60,128,269,20,50,0,0,10,-6,0,0,-5,0,5,600,330,0,500,110,200,0,False,0,70,30,84,68,Red Bird Stone,Salamander Tail,10,3,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flame Toad,56,1,Reptile,Reptile,30,1081,0,0,185,91,100,118,192,20,50,0,0,8,0,3,-2,-6,0,5,660,480,0,500,90,200,0,False,0,35,20,32,18,Dynamite,Pretty Bracelet,15,5,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immune Cell,57,1,Bird,Bird,39,1771,0,200,215,121,80,156,230,20,50,0,0,0,-4,0,10,0,8,0,600,300,0,500,110,200,0,False,0,64,84,41,64,Sympathy Nut,Binding Circle,10,122,0,1,85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giant Mantis,58,1,Bug,Bug,15,483,0,0,122,82,78,80,230,20,50,0,0,-4,7,0,0,0,0,10,780,240,0,500,100,200,0,False,0,5,11,18,23,Wound Salve,Seed of Defense,15,3,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodo,59,1,Bird,Bird,10,265,0,0,110,58,98,110,192,20,50,0,0,0,0,0,0,0,0,0,840,270,0,500,100,200,0,False,0,6,10,8,7,Medicinal Herb,Healing Herb,20,5,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pit Viper,60,1,Reptile,Reptile,32,1242,0,0,197,101,101,122,192,20,50,0,0,5,0,-5,0,0,4,5,540,300,0,500,100,200,0,False,0,52,45,47,47,Purifying Herb,Red Goblin Toad,20,5,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dino Freezer,62,1,Reptile,Reptile,39,2105,0,240,270,110,99,186,192,20,50,0,0,-7,0,0,0,8,128,20,600,240,0,500,140,200,0,False,0,78,122,48,134,Dynamite,Tundra Battleax,10,122,0,1,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leck Guarder,63,2,Unknown #4,Humanoid,42,17250,0,750,273,219,62,139,269,15,30,0,0,9,0,0,0,0,201,25,240,600,0,500,160,200,0,True,0,400,1250,0,0,,Inferno Battleax,0,100,0,1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scaly Warrior,64,1,Humanoid,Humanoid,30,1334,0,230,195,108,41,124,288,20,50,0,0,0,0,0,-4,0,0,10,360,240,0,500,80,200,0,False,0,45,51,23,93,Holy Wound Salve,Seed of Moves,15,3,0,1,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyarmot,66,1,Humanoid,Humanoid,41,1921,0,220,235,85,70,162,250,20,50,0,0,7,0,-3,0,0,0,10,600,300,0,500,80,200,0,False,0,81,67,39,97,Tight Dress,Panacea,125,10,0,1,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancient Warrior,67,1,Undead,Undead,45,2346,0,360,327,128,63,146,269,20,50,15,0,8,0,0,0,-7,130,10,600,270,0,500,80,200,0,False,0,97,86,14,196,Golden Potion,Reflect Mail,10,125,0,1,65,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarantula,68,1,Bug,Bug,38,1461,0,90,231,99,60,116,269,20,50,0,0,0,0,0,0,0,4,5,600,360,0,500,100,200,0,False,0,53,94,43,45,Panacea,Spiderweb,15,10,0,1,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killer Tree,69,1,Unknown #1,Unknown #1,44,2657,0,280,382,141,71,75,250,20,50,0,0,9,0,-6,0,0,128,15,600,180,0,500,80,200,0,False,0,117,34,6,186,All-Around Seed,Omnipotent Seed,1,125,0,1,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giant Crab,70,1,Bug,Bug,19,644,0,80,152,70,69,86,250,20,50,0,0,0,0,5,0,0,0,5,720,240,0,500,60,200,0,False,0,36,37,37,12,Healing Herb,Quake Stone,10,2,0,1,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snow Leopard,71,1,Animal,Animal,42,5290,320,0,267,191,102,165,192,20,50,30,0,-5,0,0,0,10,130,10,420,300,0,500,120,200,0,False,0,150,175,160,150,Icefang Stone,Pretty Necklace,10,1,0,1,40,20,10,30,0,3,40,15,35,10,0,6,25,40,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Desert Diver,72,1,Animal,Animal,37,1495,0,250,173,95,60,127,269,20,50,0,0,6,-8,10,0,0,0,5,300,210,0,500,70,200,0,False,0,56,58,44,126,Vaccine,Revival Gem,10,2,0,1,70,5,25,0,0,3,60,15,25,0,0,0,0,0,0,0,0,15,90,0,10,0,0,0,0,0,0,0,0
Dual Fist,73,2,Unknown #5,Bug,50,21850,0,660,346,152,73,158,250,15,30,0,0,0,-5,0,0,9,202,10,360,540,0,500,200,200,0,True,0,450,1600,0,1200,Omnipotent Seed,Elf King's Boots,2,120,0,1,50,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evil Maneuver,74,1,Undead,Undead,42,2243,240,260,282,116,53,103,288,20,50,0,0,0,0,-3,8,0,10,10,600,240,0,500,130,200,0,False,0,105,114,59,32,Thor Stone,Seed of Psyche,10,3,0,1,40,25,10,20,5,13,50,25,15,5,5,0,0,0,0,0,0,15,60,20,15,0,5,0,0,0,0,0,0
Emerald Bird,75,1,Bird,Bird,45,2139,160,320,309,123,81,244,192,20,50,0,0,-4,0,0,0,7,128,5,480,330,0,500,120,200,0,False,0,108,96,156,271,Magical Medicine,Gold Feather,10,125,0,1,65,10,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death Doberman,76,1,Animal,Animal,44,2059,270,0,291,139,80,173,192,20,50,0,0,-3,10,0,0,0,0,5,600,270,0,500,130,200,0,False,0,83,13,115,106,Yomi's Elixir,Red Hair Ribbon,10,125,0,1,60,10,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mind Eater,77,1,Undead,Undead,47,2530,280,330,263,134,43,285,288,20,50,0,0,0,0,0,9,-3,10,5,420,300,0,500,80,200,0,False,0,128,12,27,142,Mana Crystals,Magical Medicine,121,10,0,1,35,30,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,60,20,15,5,0,0,0,0,0,0,0
Vein Brain,78,1,Undead,Undead,28,920,130,0,153,122,80,196,230,20,50,0,0,-5,0,0,7,0,12,0,960,390,0,500,90,200,0,False,0,17,8,65,72,Electrum Stone,Seed of Magic,15,3,0,1,30,60,10,0,0,3,60,10,30,0,0,0,0,0,0,0,0,15,85,10,5,0,0,0,0,0,0,0,0
Devil,79,1,Unknown #1,Unknown #1,50,6670,630,0,303,166,72,204,250,20,50,5,0,5,0,0,0,-2,160,5,30,240,0,500,100,200,0,True,0,20,270,320,240,Jet-Black Cape,Demon Ash,122,2,0,1,25,10,20,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragon Knight,80,1,Reptile,Reptile,42,2450,60,290,315,130,95,158,192,20,50,0,0,0,-6,0,6,0,128,10,600,300,0,500,120,200,0,False,0,92,98,73,171,Dragon Wand,Scarlet Potion,122,10,0,1,60,20,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guardian,81,2,Unknown #6,Unknown #1,50,19550,260,690,324,194,74,213,250,10,30,0,0,0,0,-5,8,5,237,15,150,300,0,500,150,200,0,True,0,500,0,2000,1600,Omnipotent Seed,Phoenix Ring,2,120,0,1,30,25,15,10,20,0,0,0,0,0,0,0,0,0,0,0,0,15,60,25,15,0,0,0,0,0,0,0,0
Valmar Magna,84,2,Unknown #7,Valmar,51,23000,440,700,336,225,79,178,230,10,30,0,0,5,0,0,0,0,224,10,270,300,0,500,180,200,0,True,0,600,50,300,1500,Brave Dirk,Mystic Potion,1,20,0,1,40,15,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,15,70,5,10,15,0,0,0,0,0,0,0
Valmar Moth,85,1,Valmar,Valmar,51,3680,0,0,303,242,142,104,192,15,50,0,0,7,0,0,0,0,128,5,60,120,0,500,90,200,0,False,0,100,60,50,80,Yomi's Elixir,Meteor Scroll,10,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delttom Spider,18,1,Bug,Bug,10,9999,0,60,100,50,59,60,269,20,50,0,0,0,0,0,0,0,0,5,780,300,0,500,90,200,0,False,0,8,15,5,2,Medicinal Herb,Slowpoke Nut,20,5,0,1,70,30,0,0,0,13,90,10,0,0,0,0,0,0,0,0,0,15,100,0,0,0,0,0,0,0,0,0,0
Millenia,0,2,Unknown #9,Humanoid,11,100000,80,77,106,127,66,70,192,15,30,5,15,0,0,0,0,0,255,10,825,310,480,210,60,170,0,True,0,0,0,0,0,,,0,0,0,1,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beast-Man,0,2,Unknown #10,Humanoid,16,4800,49,144,150,144,88,61,192,15,30,5,15,0,0,0,0,0,202,40,750,320,480,210,80,200,0,True,0,150,100,0,0,,,0,0,0,1,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyeball Bat,0,1,Unknown #22,Valmar,30,3500,0,370,148,105,100,126,192,15,50,0,0,0,0,5,0,0,145,5,360,360,0,500,70,200,0,True,0,50,225,225,195,,Book of Warriors,0,120,0,1,90,10,0,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tio Clone,0,2,Unknown #11,Humanoid,43,30000,190,165,274,282,196,168,192,10,30,100,0,0,0,0,0,0,219,15,850,300,480,210,60,155,85,True,0,900,4000,4000,0,,Balor,0,100,0,1,20,30,15,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millenia,0,2,Unknown #12,Humanoid,48,23000,247,192,291,224,104,155,192,10,30,0,0,0,0,0,0,0,224,10,825,310,480,210,60,170,0,True,0,0,3000,0,0,,Black Angel Bow,0,100,0,1,50,10,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
